date,transactions_per_day,budget_utilization,category_count,baseline_cost,material_purchases,experience_ratio,prob_camping,prob_dorm,prob_suite,prob_unpaid,total_num_transports,primary_transport,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,novelty_flag,activity_type
2024-07-01,4.0,0.7783333333333334,3.0,32.33,0.0,0.0,0.03592414295197819,0.9077218502738843,0.05635400677413756,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,4.0,1.024,4.0,23.35,0.0,0.5263671875,0.009769166718893977,0.9762667005597788,0.01396413272132734,0.0,2.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0
2024-07-03,6.0,0.5425,4.0,21.7,0.0,0.15145929339477726,0.02399425480657618,0.9353135303230649,0.04069221487035898,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,4.0,0.46016666666666667,2.0,27.61,0.0,0.0,0.02399425480657618,0.9353135303230649,0.04069221487035898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,4.0,0.40116666666666667,2.0,24.07,0.0,0.0,0.02399425480657618,0.9353135303230649,0.04069221487035898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,7.0,0.8055,3.0,34.519999999999996,0.0,0.0,0.01732093175567382,0.9558679504973646,0.026811117746961335,0.0,2.0,3.0,0.0,3.25,2.0,0.0,1.0,1.0,5.0
2024-07-07,7.0,0.7561666666666668,5.0,26.630000000000003,1.0,0.21732422305488205,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,5.0,1.7326666666666666,4.0,16.77,0.0,0.8158907272027702,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,2.0,4.0,0.0,1.5,8.0,0.0,1.0,1.0,2.0
2024-07-09,11.0,0.7266666666666667,6.0,30.68,3.0,0.0,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,7.0,0.8893333333333333,4.0,12.92,0.0,0.09239130434782608,0.0,0.0,0.0,1.0,1.0,3.0,1.0,13.0,4.0,0.0,1.0,1.0,5.0
2024-07-11,6.0,0.7628333333333334,4.0,34.53,0.0,0.0,0.009769166718893977,0.9762667005597788,0.01396413272132734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,2.0,1.0356666666666667,2.0,2.96,0.0,0.9523656260057933,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,8.0,0.0,1.0,1.0,3.0
2024-07-13,2.0,1.0356666666666667,2.0,0.0,0.0,0.9523656260057933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0
2024-07-14,3.0,1.1506666666666665,2.0,9.86,0.0,0.8571842410196988,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,8.0,0.0,1.0,0.0,3.0
2024-07-15,1.0,0.9863333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0
2024-07-16,1.0,0.9863333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0
2024-07-17,1.0,0.9863333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0
2024-07-18,1.0,0.9863333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0
2024-07-19,3.0,1.4925,3.0,6.7,0.0,0.6608598548297041,0.0,0.0,0.0,1.0,1.0,3.0,1.0,11.0,8.0,0.0,1.0,0.0,3.0
2024-07-20,6.0,0.9205000000000001,4.0,34.519999999999996,1.0,0.0,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,4.0,0.5820000000000001,3.0,12.43,0.0,0.0,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,6.0,1.3285000000000002,4.0,30.39,1.0,0.0,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,4.0,1.302,2.0,5.72,0.0,0.9267793138760881,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0
2024-07-24,1.0,1.0423333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0
2024-07-25,6.0,2.1471666666666667,4.0,41.43,0.0,0.6692540557323604,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,1.0,3.0,0.0,1.0,8.0,0.0,1.0,0.0,2.0
2024-07-26,6.0,0.7791666666666667,5.0,25.25,0.0,0.32491978609625666,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-27,5.0,0.9913333333333333,2.0,27.419999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,8.0,0.8203333333333334,4.0,44.879999999999995,0.0,0.060138155221454694,0.027531411597319137,0.9428819677794696,0.02958662062321137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,5.0,0.5128333333333334,3.0,22.29,0.0,0.0,0.0242115048960744,0.952607644870402,0.023180850233523786,0.0,1.0,2.0,0.0,4.0,8.0,0.0,1.0,1.0,2.0
2024-07-30,7.0,1.1280000000000001,4.0,19.34,0.0,0.7142434988179669,0.0242115048960744,0.952607644870402,0.023180850233523786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,6.0,1.0979999999999999,4.0,21.5,0.0,0.5390103217972071,0.027531411597319137,0.9428819677794696,0.02958662062321137,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0
2024-08-01,4.0,1.8051666666666668,4.0,22.689999999999998,0.0,0.0,0.027531411597319137,0.9428819677794696,0.02958662062321137,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,8.0,0.8613333333333333,5.0,29.98,0.0,0.38177244582043346,0.02578312611447816,0.8963987417371423,0.07781813214837956,0.0,2.0,4.0,0.0,0.75,4.0,1.0,1.0,1.0,5.0
2024-08-03,8.0,1.062,6.0,40.64,1.0,0.030916509730069052,0.02578312611447816,0.8963987417371423,0.07781813214837956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,8.0,0.8286666666666667,3.0,14.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,4.0,1.4243333333333332,2.0,13.120000000000001,0.0,0.8464778843903582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0
2024-08-06,2.0,1.2056666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0
2024-08-07,5.0,1.8401666666666665,4.0,30.18,0.0,0.6551942758808079,0.03476125375633569,0.9257705681041318,0.03946817813953235,0.0,1.0,3.0,0.0,4.0,8.0,0.0,1.0,0.0,3.0
2024-08-08,7.0,1.2085000000000001,3.0,13.32,0.0,0.489863467107985,0.0,0.0,0.0,1.0,1.0,3.0,1.0,8.0,8.0,0.0,1.0,1.0,5.0
2024-08-09,3.0,0.35833333333333334,2.0,21.5,0.0,0.0,0.02594812503271058,0.9240036229828009,0.05004825198448841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10,6.0,1.1046666666666667,4.0,25.45,0.0,0.5654797827398913,0.02594812503271058,0.9240036229828009,0.05004825198448841,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0
2024-08-11,10.0,0.9570000000000001,5.0,37.79,0.0,0.0,0.023711359342329118,0.9323286666895044,0.04395997396816653,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,3.0,0.6641666666666667,3.0,22.1,0.0,0.0,0.023711359342329118,0.9323286666895044,0.04395997396816653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,5.0,0.7233333333333333,3.0,7.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,7.0,0.613125,5.0,31.07,0.0,0.08053007135575943,0.042586168330346,0.917190844813317,0.040222986856336795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,2.0,0.6575,2.0,14.44,0.0,0.0,0.020032304762334162,0.9116440918430299,0.06832360339463604,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,5.0,1.7592500000000002,4.0,25.24,0.0,0.6422481170953531,0.020032304762334162,0.9116440918430299,0.06832360339463604,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0
2024-08-17,5.0,0.9401249999999999,4.0,26.25,0.0,0.3672383991490494,0.020032304762334162,0.9116440918430299,0.06832360339463604,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0
2024-08-18,6.0,1.22875,4.0,26.75,0.0,0.6002034587995931,0.020032304762334162,0.9116440918430299,0.06832360339463604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,4.0,0.5845,2.0,46.76,0.0,0.0,0.020032304762334162,0.9116440918430299,0.06832360339463604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,5.0,0.635,3.0,22.05,0.0,0.0,0.0835127112080361,0.8804168536039735,0.036070435187990364,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,3.0,1.465875,2.0,15.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,22.0,2.0,1.0,0.0,1.0,3.0
2024-08-22,4.0,0.511625,4.0,29.13,0.0,0.0,0.03922475781689747,0.8820233481944487,0.07875189398865362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-23,6.0,0.564875,3.0,38.92,0.0,0.0,0.0387085277490748,0.9069125723471947,0.0543788999037305,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0
2024-08-24,9.0,1.0887499999999999,5.0,43.18,0.0,0.03455797933409874,0.025530113274640137,0.95240108830962,0.022068798415739856,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-08-25,6.0,0.586875,3.0,36.91,0.0,0.2138445154419595,0.8498839748470328,0.08093084703597928,0.06918517811698795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,5.0,0.5085,3.0,29.38,0.0,0.2777777777777778,0.011391981605107236,0.9632405067691074,0.02536751162578553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,5.0,0.63075,3.0,35.9,0.0,0.0,0.05319084427429766,0.1750673310112503,0.7717418247144521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,6.0,0.6074999999999999,3.0,41.07,0.0,0.0,0.018413581698690597,0.9544042823872755,0.027182135914033973,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,6.0,3.8572499999999996,3.0,15.319999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,5.0,0.649625,3.0,42.56,0.0,0.0,0.010292451980536499,0.9486423704913227,0.041065177528140845,0.0,1.0,4.0,1.0,2.5,4.0,1.0,0.0,1.0,3.0
2024-08-31,12.0,0.7925,4.0,49.21,0.0,0.05946372239747633,0.010292451980536499,0.9486423704913227,0.041065177528140845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,6.0,0.715625,4.0,48.46,0.0,0.0,0.010292451980536499,0.9486423704913227,0.041065177528140845,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0
2024-09-02,3.0,0.491375,2.0,39.31,0.0,0.0,0.010292451980536499,0.9486423704913227,0.041065177528140845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,5.0,1.216125,3.0,18.08,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,5.0,0.612,4.0,25.110000000000003,0.0,0.0,0.020848665521566185,0.9453567083909321,0.03379462608750155,0.0,1.0,3.0,0.0,5.0,2.0,1.0,0.0,1.0,2.0
2024-09-05,7.0,0.9186249999999999,4.0,51.65,2.0,0.0,0.020848665521566185,0.9453567083909321,0.03379462608750155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-06,7.0,2.073875,2.0,27.830000000000002,0.0,0.8322584533783376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,3.0
2024-09-07,4.0,1.0073750000000001,3.0,34.14,0.0,0.5763742399801465,0.03908032335840267,0.9157925143086966,0.0451271623329009,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.0
2024-09-08,5.0,0.484875,3.0,36.28,0.0,0.0,0.03782520738363835,0.9306712706628664,0.03150352195349519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,7.0,1.151625,4.0,26.86,0.0,0.0,0.026259473182461527,0.9355308856767922,0.038209641140746355,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,9.0,0.98575,5.0,37.31,0.0,0.13213289373573422,0.06044664461184275,0.9090480361994442,0.030505319188713034,0.0,3.0,3.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
2024-09-11,3.0,0.34924999999999995,2.0,27.939999999999998,0.0,0.0,0.06044664461184275,0.9090480361994442,0.030505319188713034,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0
2024-09-12,8.0,0.877125,5.0,28.75,0.0,0.08949693601254097,0.06044664461184275,0.9090480361994442,0.030505319188713034,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0
2024-09-13,5.0,0.64325,3.0,15.81,0.0,0.0,0.050178011144984706,0.9131946851591206,0.03662730369589469,0.0,2.0,3.0,0.0,4.5,2.0,1.0,0.0,1.0,4.0
2024-09-14,10.0,0.7457499999999999,5.0,37.79,0.0,0.294669795507878,0.050178011144984706,0.9131946851591206,0.03662730369589469,0.0,3.0,5.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0
2024-09-15,7.0,0.687875,3.0,45.54,0.0,0.0,0.10899389594955987,0.35427797677560463,0.5367281272748354,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0
2024-09-16,7.0,0.6559999999999999,3.0,14.559999999999999,0.0,0.0,0.029170473108522183,0.9460690259868612,0.024760500904616775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,4.0,0.751625,3.0,15.69,0.0,0.7390653583901546,0.029170473108522183,0.9460690259868612,0.024760500904616775,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0
2024-09-18,7.0,0.532125,4.0,20.74,2.0,0.0,0.029170473108522183,0.9460690259868612,0.024760500904616775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,6.0,0.89075,5.0,22.32,2.0,0.0,0.06006783158523328,0.8783144960522152,0.061617672362551466,0.0,1.0,5.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
2024-09-20,5.0,1.3901249999999998,3.0,31.86,0.0,0.713514971675209,0.06006783158523328,0.8783144960522152,0.061617672362551466,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0
2024-09-21,11.0,0.864875,6.0,39.68,0.0,0.12545165486341958,0.06006783158523328,0.8783144960522152,0.061617672362551466,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0
2024-09-22,6.0,0.5765,4.0,33.72,0.0,0.18820468343451863,0.06006783158523328,0.8783144960522152,0.061617672362551466,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0
2024-09-23,8.0,0.6105,4.0,19.71,0.0,0.0,0.04434688791558624,0.899301228790051,0.056351883294362685,0.0,2.0,3.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
2024-09-24,8.0,1.6471250000000002,5.0,37.489999999999995,2.0,0.0,0.01831022122258396,0.9516507538791565,0.030039024898259638,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,7.0,0.583625,4.0,36.43,0.0,0.0,0.01831022122258396,0.9516507538791565,0.030039024898259638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,5.0,0.512625,3.0,37.29,0.0,0.09070958302852963,0.01831022122258396,0.9516507538791565,0.030039024898259638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,11.0,0.983375,6.0,37.75,1.0,0.31524087962374475,0.01831022122258396,0.9516507538791565,0.030039024898259638,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0
2024-09-28,7.0,0.62825,3.0,37.12,0.0,0.0,0.0417375018947165,0.2085151702073142,0.7497473278979694,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-09-29,6.0,0.587375,2.0,46.989999999999995,0.0,0.0,0.036300715751555225,0.9359041285119778,0.02779515573646703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,7.0,1.1096249999999999,3.0,12.65,0.0,0.2933423453869551,0.0,0.0,0.0,1.0,2.0,3.0,0.8461538461538461,6.5,8.0,0.0,1.0,1.0,3.0
2024-10-01,4.0,0.712875,3.0,54.55,0.0,0.043485884622128705,0.016706388051863107,0.9630910594118438,0.02020255253629305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,7.0,0.778125,4.0,34.97,0.0,0.39839357429718875,0.02647721031663949,0.9405959233446857,0.03292686633867479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,8.0,0.6528750000000001,4.0,34.47,3.0,0.0,0.02647721031663949,0.9405959233446857,0.03292686633867479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,10.0,1.246125,4.0,33.230000000000004,0.0,0.0,0.02647721031663949,0.9405959233446857,0.03292686633867479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-05,4.0,0.353375,3.0,25.79,0.0,0.0,0.10061071739935959,0.4735080174374714,0.42588126516316904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-06,8.0,1.0027500000000003,4.0,28.15,0.0,0.0,0.0772296976417176,0.9007324813774922,0.022037820980790376,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
