date,transactions_per_day,budget_utilization,category_count,baseline_cost,material_purchases,experience_ratio,prob_camping,prob_dorm,prob_suite,prob_unpaid,total_num_transports,night_travel_ratio,hours_per_transit,activity_time,is_activity,is_tour,novelty_flag,primary_transport_0,primary_transport_1,primary_transport_2,primary_transport_3,primary_transport_4,primary_transport_5,activity_type_0,activity_type_1,activity_type_2,activity_type_3,activity_type_4,activity_type_5
2024-07-01,0.3076923076923077,0.25549661292088766,0.42857142857142855,0.805959072000225,0.0,0.0,0.03592414295197819,0.9077218502738843,0.05635400677413756,0.0,0.2,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,0.3076923076923077,0.3129265069428052,0.5714285714285714,0.7338031956445558,0.0,0.5263671875,0.009769166718893977,0.9762667005597788,0.01396413272132734,0.0,0.4,0.0,0.09090909090909091,0.6711877414712396,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-03,0.46153846153846156,0.19235344392916712,0.5714285714285714,0.7176753334177723,0.0,0.15145929339477726,0.02399425480657618,0.9353135303230649,0.04069221487035898,0.0,0.2,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.3076923076923077,0.16800820600563657,0.2857142857142857,0.7708606245850227,0.0,0.0,0.02399425480657618,0.9353135303230649,0.04069221487035898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.3076923076923077,0.14970270211414605,0.2857142857142857,0.740501036761113,0.0,0.0,0.02399425480657618,0.9353135303230649,0.04069221487035898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-06,0.5384615384615384,0.2622253481143359,0.42857142857142855,0.8205862672486034,0.0,0.0,0.01732093175567382,0.9558679504973646,0.026811117746961335,0.0,0.4,0.0,0.14772727272727273,0.45815690999132624,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-07,0.5384615384615384,0.24992969692864048,0.7142857142857143,0.7628493967701219,0.2,0.21732422305488205,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.38461538461538464,0.44616214864013887,0.5714285714285714,0.6613958256479158,0.0,0.8158907272027702,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.4,0.0,0.06818181818181818,0.9163138199826525,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-07-09,0.8461538461538461,0.24241110907307406,0.8571428571428571,0.7942890569885269,0.6,0.0,0.03398188617716743,0.93349914228885,0.032518971533982574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.5384615384615384,0.2823687581475982,0.5714285714285714,0.6052699254453912,0.0,0.09239130434782608,0.0,0.0,0.0,1.0,0.2,1.0,0.5909090909090909,0.6711877414712396,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
